stid,station_name,lat,lon,elev,begints,endts,iem_network\,county,COUNTYFP
IA3438,GREENFIELD,41.3,-94.47,409.0,1893-01-01,,IACLIMATE\,Adair,1
IA8021,STUART,41.5,-94.31667,369.77286,1896-04-01,1910-11-30,IACLIMATE\,Adair,1
IA1833,CORNING,41.0,-94.75,354.0,1893-01-01,,IACLIMATE\,Adams,3
IA2311,DORCHESTER,43.4705,-91.5109,234.68578,1947-01-01,2013-12-12,IACLIMATE\,Allamakee,5
IA2315,DORCHESTER HWY 76,43.4212,-91.5086,208.27432,2000-01-01,2017-12-20,IACLIMATE\,Allamakee,5
IA4620,LANSING,43.36333,-91.21611,197.21147,1896-06-01,2004-06-22,IACLIMATE\,Allamakee,5
IA4624,LANSING 4SE,43.3197,-91.1616,274.46567,2003-04-01,2013-06-14,IACLIMATE\,Allamakee,5
IA6766,Postville,43.0906,-91.5581,350.0,1893-01-01,,IACLIMATE\,Allamakee,5
IA8755,WAUKON,43.27,-91.48,378.0,1934-01-01,,IACLIMATE\,Allamakee,5
IA8756,WAUKON 4SW,43.24025,-91.55496,362.78336,2017-11-01,2019-10-10,IACLIMATE\,Allamakee,5
IA1354,CENTERVILLE,40.72,-92.87,311.0,1893-01-01,,IACLIMATE\,Appanoose,7
IA1358,CENTERVILLE 5 E,40.73333,-92.76667,268.7091,1973-01-01,1980-07-27,IACLIMATE\,Appanoose,7
IA5750,MOULTON 5 W,40.6924,-92.7727,253.2053,2000-01-01,2017-12-20,IACLIMATE\,Appanoose,7
IA6910,RATHBUN DAM,40.825,-92.8925,277.0142,1970-01-01,,IACLIMATE\,Appanoose,7
IA0385,AUDUBON,41.72,-94.93,411.0,1893-01-01,,IACLIMATE\,Audubon,9
IA0600,BELLE-PLAINE,41.88,-92.27,229.0,1893-01-01,,IACLIMATE\,Benton,11
IA0602,BELLE PLAINE 3 S,41.86667,-92.28333,234.49013,2000-01-01,2017-12-20,IACLIMATE\,Benton,11
IA8568,VINTON,42.17,-92.0,232.0,1893-01-01,,IACLIMATE\,Benton,11
IA1300,CEDAR FALLS,42.5377,-92.443,232.5624,1893-01-01,2021-08-31,IACLIMATE\,Black Hawk,13
IA3964,HUDSON,42.4075,-92.4633,273.23102,2000-06-01,2019-11-30,IACLIMATE\,Black Hawk,13
IA8704,WATERLOO,42.51667,-92.33333,265.02466,1895-01-01,1950-02-28,IACLIMATE\,Black Hawk,13
IA8706,WATERLOO,42.55,-92.4,264.0,1894-01-01,,IACLIMATE\,Black Hawk,13
IA8705,WATERLOO #1,42.50056,-92.33194,260.9135,1997-07-01,2008-02-26,IACLIMATE\,Black Hawk,13
IATALO,Waterloo Area,42.55437,-92.40129,267.64633,1895-01-01,,IACLIMATE\,Black Hawk,13
IA8707,WATERLOO SNOW,42.46509,-92.34116,278.76538,2012-01-01,2022-12-31,IACLIMATE\,Black Hawk,13
IA0200,AMES-8-WSW,42.03,-93.8,344.0,1893-01-01,,IACLIMATE\,Boone,15
IATAME,Ames Area,42.015,-93.725,322.74265,1893-01-01,,IACLIMATE\,Boone,15
IA0549,BEAVER 2 NE,42.03333,-94.13333,307.5065,1948-01-01,1951-06-17,IACLIMATE\,Boone,15
IA0807,Boone,42.0417,-93.8906,330.0,1904-12-01,,IACLIMATE\,Boone,15
IA0812,BOONE 3 WNW,42.08333,-93.93333,281.76083,1922-01-01,1946-07-31,IACLIMATE\,Boone,15
IA5000,MADRID,41.86667,-93.81667,299.25076,1895-04-01,1941-12-31,IACLIMATE\,Boone,15
IA6209,OGDEN,42.0388,-94.0419,321.41016,2000-01-01,2022-12-31,IACLIMATE\,Boone,15
IA6205,OGDEN,42.05,-94.05,327.24905,1894-07-01,1959-09-30,IACLIMATE\,Boone,15
IA9178,WOODWARD 7 N,41.95,-93.91667,313.0,1944-09-01,1974-04-30,IACLIMATE\,Boone,15
IA8341,TRIPOLI 2N,42.8366,-92.2566,310.896,2003-01-01,2022-08-27,IACLIMATE\,Bremer,17
IA8339,TRIPOLI-4-N,42.82,-92.25,307.0,1946-09-01,2021-08-30,IACLIMATE\,Bremer,17
IA8771,WAVERLY,42.73333,-92.46667,277.0,1896-01-01,1946-08-31,IACLIMATE\,Bremer,17
IA2778,FAIRBANK,42.6404,-92.0291,309.41577,2000-01-01,2008-01-31,IACLIMATE\,Buchanan,19
IA4052,INDEPENDENCE,42.50694,-91.90139,286.83234,1893-01-01,2017-12-20,IACLIMATE\,Buchanan,19
IA4049,INDEPENDENCE-2-W,42.48,-91.82,309.0,1867-01-01,2009-12-31,IACLIMATE\,Buchanan,19
IAD003,Iowa Drought Region 3 - Northeast,42.4942,-91.6834,327.0,1893-01-01,,IACLIMATE\,Buchanan,19
IA7892,STANLEY,42.6333,-91.8632,321.70895,2006-01-01,,IACLIMATE\,Buchanan,19
IA0173,ALTA,42.66667,-95.3,451.48434,1893-01-01,1959-10-31,IACLIMATE\,Buena Vista,21
IA0175,ALTA NEAR,42.66667,-95.33333,430.01266,1896-03-01,1920-02-29,IACLIMATE\,Buena Vista,21
